"country","region","population","area","netmigration","gdp","literacy","phones","arable","agriculture"
"Afghanistan","Asia",31056997,647500,23.06,700,36,3.2,12.13,0.38
"Albania","Eastern Europe",3581655,28748,-4.93,4500,86.5,71.2,21.09,0.232
"Algeria","Africa",32930091,2381740,-0.39,6000,70,78.1,3.22,0.101
"American Samoa","Oceania",57794,199,-20.71,8000,97,259.5,10,NA
"Andorra","Western Europe",71201,468,6.6,19000,100,497.2,2.22,NA
"Angola","Africa",12127071,1246700,0,1900,42,7.8,2.41,0.096
"Anguilla","South America",13477,102,10.76,8600,95,460,0,0.04
"Antigua & Barbuda","South America",69108,443,-6.15,11000,89,549.9,18.18,0.038
"Argentina","South America",39921833,2766890,0.61,11200,97.1,220.4,12.31,0.095
"Armenia","Asia",2976372,29800,-6.47,3500,98.6,195.7,17.55,0.239
"Aruba","South America",71891,193,0,28000,97,516.1,10.53,0.004
"Australia","Oceania",20264082,7686850,3.98,29000,100,565.5,6.55,0.038
"Austria","Western Europe",8192880,83870,2,30000,98,452.2,16.91,0.018
"Azerbaijan","Asia",7961619,86600,-4.9,3400,97,137.1,19.63,0.141
"Bahamas, The","South America",303770,13940,-2.2,16700,95.6,460.6,0.8,0.03
"Bahrain","Asia",698585,665,1.05,16900,89.1,281.3,2.82,0.005
"Bangladesh","Asia",147365352,144000,-0.71,1900,43.1,7.3,62.11,0.199
"Barbados","South America",279912,431,-0.31,15700,97.4,481.9,37.21,0.06
"Belarus","Asia",10293011,207600,2.54,6100,99.6,319.1,29.55,0.093
"Belgium","Western Europe",10379067,30528,1.23,29100,98,462.6,23.28,0.01
"Belize","South America",287730,22966,0,4900,94.1,115.7,2.85,0.142
"Benin","Africa",7862944,112620,0,1100,40.9,9.7,18.08,0.316
"Bermuda","North America",65773,53,2.49,36000,98,851.4,20,0.01
"Bhutan","Asia",2279723,47000,0,1300,42.2,14.3,3.09,0.258
"Bolivia","South America",8989046,1098580,-1.32,2400,87.2,71.9,2.67,0.128
"Bosnia & Herzegovina","Eastern Europe",4498976,51129,0.31,6100,NA,215.4,13.6,0.142
"Botswana","Africa",1639833,600370,0,9000,79.8,80.5,0.65,0.024
"Brazil","South America",188078227,8511965,-0.03,7600,86.4,225.3,6.96,0.084
"British Virgin Is.","South America",23098,153,10.01,16000,97.8,506.5,20,0.018
